Course,Section,Instructor,Day,Time,Units,TAs,NULL
002A,A01,,FMW,800-850,2,1,0
,,,M,1310-1600,W,1810-1900,2,1,0
002A,A02,,FMW,800-850,2,1,0
,,,F,1710-1800,M,1610-1900,2,1,0
002A,A03,,FMW,800-850,2,1,0
,,,M,1910-2200,R,1810-1900,2,1,0
002A,A04,,FMW,800-850,2,1,0
,,,R,800-850,T,900-1150,2,1,0
002A,A05,,FMW,800-850,2,1,0
,,,T,1310-1600,W,1810-1900,2,1,0
002A,A06,,FMW,800-850,2,1,0
,,,M,1810-1900,T,1910-2200,2,1,0
002A,A07,,FMW,800-850,2,1,0
,,,M,1710-1800,W,1310-1600,2,1,0
002A,A08,,FMW,800-850,2,1,0
,,,F,1310-1400,W,1610-1900,2,1,0
002A,A09,,FMW,800-850,2,1,0
,,,T,1810-1900,W,1910-2200,2,1,0
002A,A10,,FMW,800-850,2,1,0
,,,R,900-1150,R,1810-1900,2,1,0
002A,A11,,FMW,800-850,2,1,0
,,,R,1310-1600,T,1810-1900,2,1,0
002A,A12,,FMW,800-850,2,1,0
,,,R,1910-2200,W,1610-1700,2,1,0
002A,A13,,FMW,800-850,2,1,0
,,,M,1310-1600,W,1810-1900,2,1,0
002A,A14,,FMW,800-850,2,1,0
,,,F,1210-1300,M,1610-1900,2,1,0
002A,A15,,FMW,800-850,2,1,0
,,,M,1910-2200,R,1810-1900,2,1,0
002A,A16,,FMW,800-850,2,1,0
,,,M,1910-2000,R,1610-1900,2,1,0
002A,A17,,FMW,800-850,2,1,0
,,,M,1810-1900,T,1610-1900,2,1,0
002A,A18,,FMW,800-850,2,1,0
,,,M,1510-1600,T,1610-1900,2,1,0
002A,B01,,FMW,1710-1800,2,1,0
,,,R,1810-1900,T,900-1150,2,1,0
002A,B02,,FMW,1710-1800,2,1,0
,,,R,1710-1800,T,1310-1600,2,1,0
002A,B03,,FMW,1710-1800,2,1,0
,,,R,800-850,T,1910-2200,2,1,0
002A,B04,,FMW,1710-1800,2,1,0
,,,T,800-850,W,1310-1600,2,1,0
002A,B05,,FMW,1710-1800,2,1,0
,,,M,1310-1600,R,1910-2000,2,1,0
002A,B06,,FMW,1710-1800,2,1,0
,,,M,1310-1600,R,1810-1900,2,1,0
002A,B07,,FMW,1710-1800,2,1,0
,,,M,1910-2200,T,1610-1700,2,1,0
002A,B08,,FMW,1710-1800,2,1,0
,,,M,1910-2200,T,1910-2000,2,1,0
002A,B09,,FMW,1710-1800,2,1,0
,,,T,800-850,T,900-1150,2,1,0
002A,B10,,FMW,1710-1800,2,1,0
,,,R,1810-1900,T,900-1150,2,1,0
002A,B11,,FMW,1710-1800,2,1,0
,,,M,1810-1900,T,1310-1600,2,1,0
002A,B12,,FMW,1710-1800,2,1,0
,,,R,800-850,T,1310-1600,2,1,0
002A,B13,,FMW,1710-1800,2,1,0
,,,T,1610-1700,T,1910-2200,2,1,0
002A,B17,,FMW,1710-1800,2,1,0
,,,F,1410-1500,T,1610-1900,2,1,0
002A,B18,,FMW,1710-1800,2,1,0
,,,R,800-850,R,900-1150,2,1,0
002A,B19,,FMW,1710-1800,2,1,0
,,,F,1310-1600,M,1610-1700,2,1,0
002A,C01,,FMW,1410-1500,2,1,0
,,,T,2010-2100,W,1610-1900,2,1,0
002A,C02,,FMW,1410-1500,2,1,0
,,,F,1810-1900,W,1910-2200,2,1,0
002A,C03,,FMW,1410-1500,2,1,0
,,,R,800-850,R,900-1150,2,1,0
002A,C04,,FMW,1410-1500,2,1,0
,,,M,1810-1900,R,1310-1600,2,1,0
002A,C05,,FMW,1410-1500,2,1,0
,,,R,1910-2200,T,1810-1900,2,1,0
002A,C06,,FMW,1410-1500,2,1,0
,,,M,1610-1900,T,1910-2000,2,1,0
002A,C07,,FMW,1410-1500,2,1,0
,,,R,800-850,W,1610-1900,2,1,0
002A,C08,,FMW,1410-1500,2,1,0
,,,M,800-850,W,1910-2200,2,1,0
002A,C09,,FMW,1410-1500,2,1,0
,,,R,900-1150,T,800-850,2,1,0
002A,C10,,FMW,1410-1500,2,1,0
,,,R,1310-1600,W,800-850,2,1,0
002A,C11,,FMW,1410-1500,2,1,0
,,,R,1910-2200,T,1910-2000,2,1,0
002A,C12,,FMW,1410-1500,2,1,0
,,,M,1610-1900,T,2010-2100,2,1,0
002A,C13,,FMW,1410-1500,2,1,0
,,,W,800-850,W,1610-1900,2,1,0
002A,C14,,FMW,1410-1500,2,1,0
,,,T,800-850,W,1910-2200,2,1,0
002A,C15,,FMW,1410-1500,2,1,0
,,,M,1810-1900,R,900-1150,2,1,0
